"country","date_key","sport","events_count","gold","silver","bronze","total_medals","medals_per_event"
"USA",1904,"Athletics","24","22","22","21","65","2.71"
"USA",1968,"Swimming","29","21","15","16","52","1.79"
"USA",1984,"Swimming","25","20","13","0","33","1.32"
"USA",1972,"Swimming","26","17","14","12","43","1.65"
"USA",2016,"Swimming","29","16","8","9","33","1.14"
"USA",1984,"Athletics","26","16","15","9","40","1.54"
"USA",1956,"Athletics","18","16","10","5","31","1.72"
"USA",1912,"Athletics","21","16","13","12","41","1.95"
"USA",1932,"Athletics","22","16","13","6","35","1.59"
"USA",2012,"Swimming","27","16","9","6","31","1.15"
"USA",1908,"Athletics","19","15","10","8","33","1.74"
"USA",1968,"Athletics","19","15","6","7","28","1.47"
"USA",1952,"Athletics","18","15","10","6","31","1.72"
"Russia",1980,"Athletics","29","15","14","12","41","1.41"
"Germany",1972,"Athletics","23","14","10","7","31","1.35"
"USA",1964,"Athletics","17","14","7","3","24","1.41"
"USA",1936,"Athletics","16","14","7","4","25","1.56"
"USA",1976,"Swimming","19","13","14","7","34","1.79"
"USA",1988,"Athletics","17","13","7","6","26","1.53"
"USA",1920,"Shooting","17","13","4","6","23","1.35"
"USA",2016,"Athletics","26","13","10","9","32","1.23"
"USA",1964,"Swimming","18","13","8","8","29","1.61"
"USA",2000,"Swimming","25","13","8","10","31","1.24"
"USA",1996,"Athletics","17","13","5","5","23","1.35"
"USA",1996,"Swimming","22","13","11","2","26","1.18"
"USA",1924,"Athletics","21","12","10","10","32","1.52"
"Germany",1988,"Swimming","22","12","9","10","31","1.41"
"USA",2008,"Swimming","25","12","9","10","31","1.24"
"USA",1948,"Athletics","18","12","5","10","27","1.50"
"USA",1960,"Athletics","16","12","8","6","26","1.63"
"Russia",1976,"Wrestling","18","12","5","1","18","1.00"
"USA",2004,"Swimming","25","12","9","7","28","1.12"
"Germany",1980,"Swimming","16","12","10","8","30","1.88"
"Germany",1976,"Athletics","24","12","11","13","36","1.50"
"Russia",1980,"Wrestling","17","12","3","2","17","1.00"
"USA",1992,"Athletics","22","12","8","10","30","1.36"
"USA",1992,"Swimming","25","11","9","7","27","1.08"
"Germany",1980,"Athletics","24","11","8","10","29","1.21"
"Russia",1956,"Gymnastics","15","11","6","6","23","1.53"
"Germany",1980,"Rowing","14","11","1","2","14","1.00"
"Russia",1960,"Athletics","16","11","5","5","21","1.31"
"Germany",1976,"Swimming","15","11","6","4","21","1.40"
"USA",1904,"Gymnastics","10","10","8","10","28","2.80"
"Finland",1924,"Athletics","13","10","5","2","17","1.31"
"Russia",1988,"Athletics","17","10","6","10","26","1.53"
"Russia",1960,"Gymnastics","14","10","8","8","26","1.86"
"Russia",1988,"Gymnastics","13","10","5","3","18","1.38"
"Russia",1972,"Athletics","15","9","7","1","17","1.13"
"Germany",1988,"Rowing","11","9","2","2","13","1.18"
"Russia",1972,"Wrestling","14","9","4","1","14","1.00"
"USA",1928,"Athletics","17","9","8","8","25","1.47"
"USA",1960,"Swimming","13","9","3","3","15","1.15"
"Russia",1980,"Gymnastics","14","9","8","5","22","1.57"
"USA",2012,"Athletics","21","9","12","7","28","1.33"
"USA",1984,"Boxing","11","9","1","1","11","1.00"
"Germany",1976,"Rowing","14","9","4","5","18","1.29"
"Russia",1992,"Gymnastics","14","9","5","4","18","1.29"
"Finland",1920,"Athletics","10","9","4","3","16","1.60"
"Russia",1952,"Gymnastics","13","9","10","2","21","1.62"
"USA",2004,"Athletics","17","9","11","5","25","1.47"
"USA",1984,"Wrestling","13","9","3","1","13","1.00"
"USA",1924,"Swimming","10","9","5","5","19","1.90"
"USA",1920,"Athletics","20","9","12","8","29","1.45"
"China",2008,"Gymnastics","12","9","1","4","14","1.17"
"Japan",2004,"Judo","10","8","2","0","10","1.00"
"Russia",1980,"Swimming","13","8","9","5","22","1.69"
"USA",1988,"Swimming","16","8","6","4","18","1.13"
"Russia",2012,"Athletics","15","8","5","5","18","1.20"
"UK",2008,"Cycling","10","8","4","2","14","1.40"
"UK",2012,"Cycling","11","8","2","2","12","1.09"
"China",2008,"Weightlifting","9","8","1","0","9","1.00"
"Australia",1956,"Swimming","8","8","4","2","14","1.75"
"Russia",1988,"Wrestling","15","8","4","3","15","1.00"
"USA",1948,"Swimming","10","8","6","1","15","1.50"
"Belgium",1920,"Archery","10","8","4","2","14","1.40"
"USA",1920,"Swimming","8","8","5","3","16","2.00"
"Cuba",1992,"Boxing","9","7","2","0","9","1.00"
"UK",1908,"Athletics","11","7","7","3","17","1.55"
"USA",2000,"Athletics","12","7","4","5","16","1.33"
"Russia",1976,"Weightlifting","8","7","1","0","8","1.00"
"Australia",2004,"Swimming","13","7","5","3","15","1.15"
"China",2016,"Diving","8","7","2","1","10","1.25"
"China",2008,"Diving","8","7","1","3","11","1.38"
"USA",2008,"Athletics","17","7","10","6","23","1.35"
"Sweden",1912,"Shooting","11","7","6","4","17","1.55"
"Russia",1976,"Gymnastics","12","7","8","2","17","1.42"
"Russia",1992,"Athletics","17","7","11","3","21","1.24"
"Turkey",1960,"Wrestling","9","7","2","0","9","1.00"
"USA",1904,"Boxing","7","7","7","4","18","2.57"
"USA",1904,"Cycling","7","7","7","7","21","3.00"
"Germany",1992,"Canoeing","11","7","2","2","11","1.00"
"USA",1912,"Shooting","12","7","4","3","14","1.17"
"Russia",1976,"Canoeing","9","6","3","0","9","1.00"
"Japan",1968,"Gymnastics","7","6","2","4","12","1.71"
"Russia",1972,"Gymnastics","11","6","6","4","16","1.45"
"Russia",1972,"Canoeing","6","6","0","0","6","1.00"
"UK",1908,"Tennis","6","6","5","4","15","2.50"
"UK",1908,"Shooting","12","6","7","8","21","1.75"
"Jamaica",2016,"Athletics","10","6","3","2","11","1.10"
"Russia",2008,"Wrestling","11","6","3","2","11","1.00"
"Germany",1988,"Athletics","22","6","12","13","31","1.41"
"Australia",2008,"Swimming","19","6","6","8","20","1.05"
"Russia",2008,"Athletics","14","6","5","6","17","1.21"
"USA",1976,"Athletics","17","6","8","8","22","1.29"
"Finland",1912,"Athletics","9","6","4","3","13","1.44"
"Sweden",1932,"Wrestling","10","6","1","3","10","1.00"
"USA",1972,"Athletics","18","6","8","8","22","1.22"
"Australia",1972,"Swimming","10","6","2","2","10","1.00"
"Germany",1936,"Gymnastics","9","6","1","6","13","1.44"
"Russia",2004,"Athletics","15","6","7","6","19","1.27"
"Russia",2000,"Wrestling","9","6","2","1","9","1.00"
"USA",1928,"Swimming","7","6","2","3","11","1.57"
"Romania",1984,"Rowing","8","6","2","0","8","1.00"
"China",2004,"Diving","7","6","2","1","9","1.29"
"Russia",1952,"Wrestling","10","6","2","2","10","1.00"
"USA",1904,"Archery","6","6","5","5","16","2.67"
"Kenya",2016,"Athletics","12","6","6","1","13","1.08"
"Kenya",2008,"Athletics","11","6","4","5","15","1.36"
"Russia",1992,"Wrestling","16","6","5","5","16","1.00"
"Russia",1992,"Swimming","10","6","3","1","10","1.00"
"Russia",1956,"Wrestling","13","6","2","5","13","1.00"
"Germany",1936,"Equestrianism","6","6","1","0","7","1.17"
"Cuba",1980,"Boxing","10","6","2","2","10","1.00"
"Russia",1988,"Weightlifting","7","6","2","0","8","1.14"
"UK",2016,"Cycling","10","6","4","2","12","1.20"
"Australia",2004,"Cycling","10","6","2","3","11","1.10"
"China",2012,"Diving","8","6","3","1","10","1.25"
"Turkey",1948,"Wrestling","11","6","4","1","11","1.00"
"Russia",1992,"Shooting","8","5","2","1","8","1.00"
"Japan",1964,"Gymnastics","8","5","4","1","10","1.25"
"USA",1924,"Shooting","8","5","2","2","9","1.13"
"USA",1924,"Tennis","5","5","1","0","6","1.20"
"China",2016,"Weightlifting","7","5","2","0","7","1.00"
"USA",1932,"Gymnastics","8","5","6","5","16","2.00"
"Japan",1964,"Wrestling","6","5","0","1","6","1.00"
"Germany",1996,"Canoeing","8","5","2","2","9","1.13"
"China",2012,"Weightlifting","6","5","2","0","7","1.17"
"France",1996,"Cycling","9","5","3","1","9","1.00"
"Australia",1960,"Swimming","11","5","5","3","13","1.18"
"USA",1932,"Swimming","8","5","2","3","10","1.25"
"USA",1952,"Boxing","5","5","0","0","5","1.00"
"China",2008,"Shooting","8","5","2","1","8","1.00"
"Germany",1936,"Athletics","12","5","4","7","16","1.33"
"Italy",1960,"Cycling","6","5","1","1","7","1.17"
"Italy",1920,"Fencing","5","5","1","0","6","1.20"
"Russia",2004,"Wrestling","10","5","2","3","10","1.00"
"China",2000,"Weightlifting","6","5","1","1","7","1.17"
"China",2012,"Swimming","9","5","2","3","10","1.11"
"USA",1976,"Boxing","7","5","1","1","7","1.00"
"France",2000,"Cycling","8","5","2","1","8","1.00"
"Sweden",1948,"Athletics","9","5","3","5","13","1.44"
"Russia",1980,"Weightlifting","8","5","3","0","8","1.00"
"China",2004,"Weightlifting","7","5","3","0","8","1.14"
"USA",1984,"Gymnastics","12","5","5","6","16","1.33"
"China",1984,"Gymnastics","9","5","4","2","11","1.22"
"Cuba",2004,"Boxing","8","5","2","1","8","1.00"
"Russia",1960,"Weightlifting","5","5","1","0","6","1.20"
"Germany",1936,"Art Competitions","9","5","5","2","12","1.33"
"Germany",1936,"Rowing","7","5","1","1","7","1.00"
"Russia",1964,"Athletics","15","5","2","11","18","1.20"
"Sweden",1948,"Wrestling","13","5","5","3","13","1.00"
"Japan",1972,"Gymnastics","7","5","5","6","16","2.29"
"China",2000,"Diving","8","5","5","0","10","1.25"
"Norway",1920,"Shooting","9","5","2","4","11","1.22"
"Finland",1928,"Athletics","8","5","5","4","14","1.75"
"Finland",1920,"Wrestling","7","5","5","2","12","1.71"
"Jamaica",2008,"Athletics","7","5","2","2","9","1.29"
"Russia",1968,"Gymnastics","13","5","5","8","18","1.38"
"USA",1904,"Rowing","5","5","4","4","13","2.60"
"USA",1904,"Wrestling","7","5","6","6","17","2.43"
"Russia",1956,"Athletics","16","5","7","10","22","1.38"
"Netherlands",2000,"Swimming","8","5","1","2","8","1.00"
"UK",1908,"Boxing","5","5","4","5","14","2.80"
"Australia",2000,"Swimming","15","5","9","4","18","1.20"
"China",2012,"Badminton","5","5","2","1","8","1.60"
"Switzerland",1928,"Gymnastics","6","5","2","2","9","1.50"
"UK",1908,"Cycling","6","5","3","1","9","1.50"
"Hungary",1992,"Swimming","7","5","3","1","9","1.29"
"Russia",2000,"Gymnastics","12","5","5","5","15","1.25"
"Russia",1992,"Weightlifting","6","5","4","0","9","1.50"
"Japan",1932,"Swimming","7","5","5","2","12","1.71"
"USA",1924,"Wrestling","5","4","1","1","6","1.20"
"China",2000,"Badminton","4","4","1","3","8","2.00"
"Canada",1984,"Swimming","10","4","3","3","10","1.00"
"Germany",1992,"Athletics","9","4","1","5","10","1.11"
"Germany",1992,"Cycling","6","4","2","0","6","1.00"
"Germany",1972,"Canoeing","6","4","4","3","11","1.83"
"Romania",2004,"Gymnastics","8","4","3","3","10","1.25"
"China",2000,"Table Tennis","4","4","3","1","8","2.00"
"Germany",1992,"Rowing","10","4","3","3","10","1.00"
"Italy",1996,"Cycling","5","4","1","0","5","1.00"
"Australia",1956,"Athletics","9","4","2","6","12","1.33"
"Czech Republic",1952,"Athletics","5","4","1","0","5","1.00"
"Germany",1972,"Rowing","7","4","1","4","9","1.29"
"Germany",1996,"Equestrianism","4","4","0","0","4","1.00"
"Cuba",2000,"Boxing","6","4","0","2","6","1.00"
"Hungary",1988,"Swimming","6","4","2","0","6","1.00"
"China",2004,"Shooting","8","4","2","3","9","1.13"
"New Zealand",1984,"Canoeing","4","4","0","0","4","1.00"
"Hungary",2000,"Canoeing","7","4","2","1","7","1.00"
"Italy",2016,"Shooting","6","4","3","0","7","1.17"
"Canada",1992,"Rowing","5","4","0","1","5","1.00"
"Russia",1964,"Gymnastics","13","4","9","5","18","1.38"
"Poland",2000,"Athletics","4","4","0","0","4","1.00"
"Russia",1964,"Weightlifting","6","4","3","0","7","1.17"
"Jamaica",2012,"Athletics","8","4","4","4","12","1.50"
"Germany",2000,"Canoeing","8","4","1","3","8","1.00"
"UK",1908,"Rowing","4","4","3","1","8","2.00"
"UK",1908,"Sailing","4","4","1","1","6","1.50"
"UK",1908,"Swimming","5","4","2","1","7","1.40"
"Japan",1936,"Swimming","7","4","2","5","11","1.57"
"UK",1920,"Athletics","11","4","4","4","12","1.09"
"Japan",1960,"Gymnastics","8","4","2","3","9","1.13"
"Cuba",1996,"Boxing","7","4","3","0","7","1.00"
"Japan",1968,"Wrestling","5","4","1","0","5","1.00"
"China",2008,"Table Tennis","4","4","2","2","8","2.00"
"Japan",1984,"Judo","5","4","0","1","5","1.00"
"Russia",1976,"Athletics","14","4","4","10","18","1.29"
"UK",1964,"Athletics","12","4","7","1","12","1.00"
"France",1924,"Cycling","4","4","0","2","6","1.50"
"Australia",1964,"Swimming","8","4","1","4","9","1.13"
"South Korea",2008,"Taekwondo","4","4","0","0","4","1.00"
"UK",1980,"Athletics","8","4","2","4","10","1.25"
"Germany",2004,"Canoeing","9","4","4","1","9","1.00"
"Japan",2000,"Judo","8","4","2","2","8","1.00"
"Russia",1980,"Canoeing","8","4","2","2","8","1.00"
"South Korea",2016,"Archery","4","4","0","1","5","1.25"
"China",2012,"Gymnastics","7","4","3","1","8","1.14"
"Japan",2008,"Judo","7","4","1","2","7","1.00"
"China",1984,"Weightlifting","4","4","2","0","6","1.50"
"Germany",1980,"Canoeing","8","4","1","3","8","1.00"
"Japan",2012,"Wrestling","6","4","0","2","6","1.00"
"UK",2008,"Sailing","6","4","1","1","6","1.00"
"China",2012,"Table Tennis","4","4","2","0","6","1.50"
"UK",2012,"Athletics","6","4","1","1","6","1.00"
"UK",2012,"Rowing","9","4","2","3","9","1.00"
"Russia",1988,"Cycling","7","4","1","2","7","1.00"
"Spain",1992,"Sailing","5","4","1","0","5","1.00"
"Japan",2016,"Wrestling","7","4","3","0","7","1.00"
"Russia",1988,"Shooting","9","4","1","6","11","1.22"
"Germany",1904,"Swimming","5","4","2","2","8","1.60"
"Kazakhstan",2012,"Weightlifting","4","4","0","0","4","1.00"
"Germany",1984,"Athletics","9","4","2","5","11","1.22"
"Russia",1996,"Fencing","6","4","2","1","7","1.17"
"Kenya",1988,"Athletics","6","4","2","1","7","1.17"
"Russia",1996,"Swimming","7","4","2","2","8","1.14"
"Ethiopia",2000,"Athletics","5","4","1","3","8","1.60"
"USA",1904,"Swimming","7","4","4","5","13","1.86"
"Russia",1996,"Wrestling","7","4","1","2","7","1.00"
"Ethiopia",2008,"Athletics","5","4","1","2","7","1.40"
"China",2016,"Table Tennis","4","4","2","0","6","1.50"
"USA",1924,"Diving","4","4","4","3","11","2.75"
"Sweden",1912,"Athletics","10","4","5","6","15","1.50"
"France",2012,"Swimming","7","4","2","1","7","1.00"
"Sweden",1912,"Equestrianism","4","4","1","1","6","1.50"
"USA",1928,"Diving","4","4","3","2","9","2.25"
"USA",1932,"Diving","4","4","4","4","12","3.00"
"France",1968,"Cycling","4","4","0","1","5","1.25"
"USA",1936,"Diving","4","4","4","2","10","2.50"
"Sweden",1920,"Equestrianism","6","4","2","3","9","1.50"
"USA",1948,"Diving","4","4","4","2","10","2.50"
"USA",1948,"Weightlifting","4","4","3","1","8","2.00"
"USA",1952,"Diving","4","4","2","3","9","2.25"
"USA",1952,"Swimming","8","4","2","3","9","1.13"
"USA",1952,"Weightlifting","5","4","2","0","6","1.20"
"USA",1956,"Weightlifting","6","4","2","1","7","1.17"
"Canada",1928,"Athletics","7","4","2","2","8","1.14"
"China",1992,"Swimming","8","4","5","0","9","1.13"
"France",1980,"Fencing","6","4","1","1","6","1.00"
"Sweden",1936,"Wrestling","9","4","3","2","9","1.00"
"USA",1984,"Cycling","6","4","3","2","9","1.50"
"Sweden",1948,"Canoeing","4","4","0","0","4","1.00"
"Netherlands",1936,"Swimming","4","4","1","0","5","1.25"
"Italy",1932,"Gymnastics","7","4","1","2","7","1.00"
"Sweden",1952,"Equestrianism","4","4","0","0","4","1.00"
"Italy",1936,"Fencing","6","4","3","2","9","1.50"
"Germany",2016,"Canoeing","7","4","2","1","7","1.00"
"Germany",1988,"Equestrianism","5","4","0","1","5","1.00"
"Hungary",1952,"Swimming","4","4","2","1","7","1.75"
"Norway",1920,"Sailing","5","4","3","1","8","1.60"
"Czech Republic",1968,"Gymnastics","6","4","2","0","6","1.00"
"Hungary",1956,"Gymnastics","7","4","2","1","7","1.00"
"Russia",2012,"Wrestling","11","4","2","5","11","1.00"
"Netherlands",1948,"Athletics","6","4","0","2","6","1.00"
"Russia",2016,"Fencing","6","4","1","2","7","1.17"
"Finland",1924,"Wrestling","10","4","7","5","16","1.60"
"Russia",2016,"Wrestling","9","4","3","2","9","1.00"
"USA",2016,"Gymnastics","9","4","6","2","12","1.33"
"Romania",1984,"Gymnastics","5","4","1","2","7","1.40"
"Hungary",1964,"Fencing","4","4","0","0","4","1.00"
"Finland",1948,"Gymnastics","6","4","2","2","8","1.33"
"Finland",1952,"Canoeing","6","4","1","1","6","1.00"
"Cuba",1904,"Fencing","4","4","0","0","4","1.00"
"China",1996,"Table Tennis","4","4","3","1","8","2.00"
"Sweden",2004,"Athletics","3","3","0","0","3","1.00"
"New Zealand",2012,"Rowing","5","3","0","2","5","1.00"
"Hungary",1936,"Fencing","3","3","0","1","4","1.33"
"Russia",1996,"Shooting","5","3","2","1","6","1.20"
"Ukraine",1996,"Gymnastics","5","3","1","1","5","1.00"
"Russia",1980,"Cycling","5","3","1","2","6","1.20"
"South Korea",2000,"Archery","3","3","1","1","5","1.67"
"USA",2012,"Tennis","4","3","0","1","4","1.00"
"Italy",2012,"Fencing","5","3","2","2","7","1.40"
"Germany",1976,"Sailing","5","3","0","2","5","1.00"
"Germany",1988,"Canoeing","9","3","4","2","9","1.00"
"France",2004,"Fencing","5","3","1","2","6","1.20"
"Iran",2012,"Wrestling","6","3","1","2","6","1.00"
"Sweden",1952,"Wrestling","8","3","4","1","8","1.00"
"France",1948,"Cycling","5","3","0","2","5","1.00"
"Russia",1980,"Equestrianism","6","3","3","2","8","1.33"
"Germany",1996,"Athletics","7","3","1","3","7","1.00"
"Russia",1956,"Boxing","6","3","1","2","6","1.00"
"Germany",1976,"Shooting","4","3","3","1","7","1.75"
"USA",1992,"Wrestling","8","3","3","2","8","1.00"
"Sweden",1920,"Wrestling","6","3","1","2","6","1.00"
"Romania",2000,"Rowing","3","3","0","0","3","1.00"
"Sweden",1956,"Equestrianism","3","3","0","0","3","1.00"
"Russia",1980,"Fencing","6","3","3","2","8","1.33"
"Denmark",1928,"Cycling","4","3","0","1","4","1.00"
"France",1948,"Fencing","3","3","1","0","4","1.33"
"Italy",1980,"Athletics","4","3","0","1","4","1.00"
"China",2004,"Table Tennis","4","3","2","2","7","1.75"
"China",2004,"Badminton","3","3","1","1","5","1.67"
"Romania",2000,"Gymnastics","5","3","2","1","6","1.20"
"Germany",1988,"Cycling","8","3","4","3","10","1.25"
"Finland",1972,"Athletics","4","3","0","1","4","1.00"
"Russia",1960,"Canoeing","4","3","1","0","4","1.00"
"Russia",2000,"Athletics","13","3","4","6","13","1.00"
"USA",1956,"Diving","4","3","4","2","9","2.25"
"Russia",1972,"Weightlifting","5","3","1","1","5","1.00"
"USA",1956,"Rowing","6","3","2","1","6","1.00"
"Japan",2004,"Swimming","8","3","1","4","8","1.00"
"Russia",2004,"Boxing","6","3","0","3","6","1.00"
"USA",1996,"Tennis","3","3","0","0","3","1.00"
"USA",1996,"Wrestling","8","3","4","1","8","1.00"
"Bulgaria",1964,"Wrestling","8","3","4","1","8","1.00"
"France",1924,"Fencing","5","3","3","0","6","1.20"
"Germany",1988,"Fencing","6","3","4","1","8","1.33"
"Russia",1960,"Wrestling","10","3","2","5","10","1.00"
"USA",2012,"Gymnastics","6","3","1","2","6","1.00"
"Russia",2004,"Cycling","5","3","1","1","5","1.00"
"USA",1960,"Boxing","4","3","0","1","4","1.00"
"Russia",2012,"Judo","5","3","1","1","5","1.00"
"USA",1908,"Shooting","6","3","2","1","6","1.00"
"Hungary",1936,"Wrestling","4","3","0","1","4","1.00"
"Japan",1996,"Judo","8","3","4","1","8","1.00"
"Romania",1984,"Athletics","7","3","3","4","10","1.43"
"Switzerland",1948,"Gymnastics","5","3","4","1","8","1.60"
"Germany",2008,"Equestrianism","4","3","1","1","5","1.25"
"Russia",1952,"Weightlifting","5","3","3","1","7","1.40"
"Italy",1952,"Fencing","6","3","4","1","8","1.33"
"Germany",1992,"Equestrianism","5","3","2","2","7","1.40"
"Romania",1976,"Gymnastics","6","3","2","3","8","1.33"
"UK",2012,"Boxing","5","3","1","1","5","1.00"
"Germany",1968,"Athletics","11","3","7","4","14","1.27"
"Japan",1976,"Gymnastics","6","3","4","3","10","1.67"
"Russia",1964,"Fencing","5","3","1","2","6","1.20"
"USA",1960,"Wrestling","3","3","0","0","3","1.00"
"Poland",1996,"Wrestling","5","3","1","1","5","1.00"
"Germany",1972,"Gymnastics","7","3","4","2","9","1.29"
"Italy",1924,"Weightlifting","3","3","0","0","3","1.00"
"UK",2012,"Equestrianism","4","3","1","1","5","1.25"
"France",1996,"Athletics","4","3","0","1","4","1.00"
"USA",1964,"Diving","4","3","2","3","8","2.00"
"USA",1920,"Boxing","4","3","0","1","4","1.00"
"Italy",1956,"Cycling","5","3","1","1","5","1.00"
"USA",1920,"Diving","3","3","2","3","8","2.67"
"Russia",2004,"Shooting","7","3","4","3","10","1.43"
"Russia",1988,"Canoeing","6","3","3","0","6","1.00"
"Czech Republic",1948,"Canoeing","4","3","1","0","4","1.00"
"South Korea",2012,"Archery","4","3","0","1","4","1.00"
"Germany",2016,"Shooting","4","3","1","0","4","1.00"
"Italy",1984,"Fencing","6","3","1","3","7","1.17"
"Italy",1956,"Fencing","4","3","2","2","7","1.75"
"Japan",2016,"Judo","12","3","1","8","12","1.00"
"China",2008,"Badminton","5","3","2","3","8","1.60"
"Sweden",1928,"Wrestling","4","3","1","0","4","1.00"
"Hungary",1948,"Fencing","4","3","0","2","5","1.25"
"USA",1920,"Rowing","4","3","1","0","4","1.00"
"Italy",1984,"Athletics","7","3","1","3","7","1.00"
"France",1996,"Judo","6","3","0","3","6","1.00"
"Russia",2000,"Fencing","4","3","0","1","4","1.00"
"Italy",2004,"Fencing","5","3","3","1","7","1.40"
"Japan",1984,"Gymnastics","7","3","2","3","8","1.14"
"Italy",1928,"Boxing","4","3","0","1","4","1.00"
"Australia",1968,"Swimming","8","3","2","3","8","1.00"
"South Korea",2000,"Taekwondo","4","3","1","0","4","1.00"
"China",1996,"Diving","4","3","1","1","5","1.25"
"Russia",1956,"Weightlifting","6","3","4","0","7","1.17"
"UK",1984,"Athletics","14","3","7","6","16","1.14"
"Italy",1960,"Boxing","7","3","3","1","7","1.00"
"Czech Republic",1996,"Canoeing","5","3","2","0","5","1.00"
"Japan",1976,"Judo","5","3","1","1","5","1.00"
"USA",2012,"Shooting","4","3","0","1","4","1.00"
"Russia",1960,"Fencing","6","3","2","2","7","1.17"
"Cuba",1972,"Boxing","5","3","1","1","5","1.00"
"Germany",1976,"Cycling","4","3","0","2","5","1.25"
"Australia",2012,"Sailing","4","3","1","0","4","1.00"
"Hungary",2012,"Canoeing","6","3","2","1","6","1.00"
"Russia",1968,"Fencing","7","3","4","0","7","1.00"
"Netherlands",2000,"Cycling","4","3","1","0","4","1.00"
"Germany",1960,"Rowing","4","3","1","0","4","1.00"
"Italy",1996,"Fencing","6","3","2","2","7","1.17"
"Russia",1968,"Boxing","6","3","2","1","6","1.00"
"Slovakia",2008,"Canoeing","4","3","1","0","4","1.00"
"Australia",1952,"Athletics","3","3","0","1","4","1.33"
"South Korea",2012,"Shooting","4","3","2","0","5","1.25"
"Sweden",1912,"Diving","3","3","2","2","7","2.33"
"Germany",2000,"Cycling","8","3","4","3","10","1.25"
"Russia",1980,"Shooting","4","3","1","1","5","1.25"
"Uzbekistan",2016,"Boxing","7","3","2","2","7","1.00"
"China",2008,"Judo","4","3","0","1","4","1.00"
"Russia",1968,"Athletics","11","3","2","8","13","1.18"
"USA",1972,"Wrestling","6","3","2","1","6","1.00"
"Ireland",1996,"Swimming","4","3","0","1","4","1.00"
"Russia",1996,"Athletics","10","3","6","1","10","1.00"
"China",1992,"Table Tennis","4","3","2","1","6","1.50"
"Hungary",2016,"Canoeing","3","3","0","0","3","1.00"
"China",1992,"Diving","4","3","1","1","5","1.25"
"Russia",1964,"Wrestling","10","3","4","3","10","1.00"
"Finland",1928,"Wrestling","9","3","3","3","9","1.00"
"France",1932,"Weightlifting","3","3","0","0","3","1.00"
"Russia",1964,"Canoeing","4","3","0","1","4","1.00"
"Italy",2000,"Swimming","5","3","1","2","6","1.20"
"UK",1908,"Wrestling","5","3","4","4","11","2.20"
"Cuba",1976,"Boxing","8","3","3","2","8","1.00"
"USA",1932,"Art Competitions","6","3","4","0","7","1.17"
"Finland",1932,"Athletics","7","3","4","4","11","1.57"
"Kenya",1968,"Athletics","6","3","4","1","8","1.33"
"Japan",1972,"Judo","4","3","0","1","4","1.00"
"South Korea",1988,"Archery","4","3","2","1","6","1.50"
"Hungary",2004,"Canoeing","6","3","1","2","6","1.00"
"UK",2000,"Sailing","5","3","2","0","5","1.00"
"Hungary",2016,"Swimming","7","3","2","2","7","1.00"
"Russia",1964,"Boxing","9","3","4","2","9","1.00"
"Russia",1968,"Weightlifting","5","3","3","0","6","1.20"
"Russia",1968,"Wrestling","9","3","5","1","9","1.00"
"Russia",1956,"Shooting","6","3","4","1","8","1.33"
"Poland",1964,"Boxing","7","3","1","3","7","1.00"
"China",2000,"Shooting","7","3","2","3","8","1.14"
"Czech Republic",1964,"Gymnastics","4","3","1","0","4","1.00"
"China",1984,"Shooting","4","3","0","3","6","1.50"
"USA",1932,"Rowing","4","3","1","0","4","1.00"
"UK",2016,"Rowing","5","3","2","0","5","1.00"
"Russia",1996,"Gymnastics","8","3","2","3","8","1.00"
"USA",1984,"Equestrianism","4","3","2","0","5","1.25"
"UK",2004,"Athletics","4","3","0","1","4","1.00"
"Russia",1976,"Fencing","5","3","2","2","7","1.40"
"USA",1932,"Wrestling","5","3","2","0","5","1.00"
"Italy",1932,"Cycling","4","3","1","1","5","1.25"
"Ethiopia",2012,"Athletics","6","3","1","3","7","1.17"
"South Korea",2004,"Archery","3","3","1","0","4","1.33"
"France",1912,"Tennis","5","3","0","2","5","1.00"
"UK",1924,"Athletics","10","3","3","5","11","1.10"
"USA",1984,"Sailing","7","3","4","0","7","1.00"
"Turkey",2004,"Weightlifting","3","3","0","2","5","1.67"
"USA",1984,"Shooting","6","3","1","2","6","1.00"
"Australia",2016,"Swimming","10","3","4","3","10","1.00"
"Romania",1956,"Canoeing","3","3","0","0","3","1.00"
"Austria",1936,"Canoeing","7","3","3","1","7","1.00"
"Romania",2004,"Rowing","3","3","0","0","3","1.00"
"Germany",1968,"Rowing","5","3","2","0","5","1.00"
"China",2000,"Gymnastics","6","3","2","2","7","1.17"
"Japan",1964,"Judo","4","3","1","0","4","1.00"
"Romania",1988,"Gymnastics","7","3","3","3","9","1.29"
"Cuba",2016,"Boxing","6","3","0","3","6","1.00"
"Finland",1912,"Wrestling","5","3","2","2","7","1.40"
"USA",1988,"Boxing","8","3","3","2","8","1.00"
"North Korea",2012,"Weightlifting","4","3","0","1","4","1.00"
"Germany",1976,"Canoeing","7","3","1","3","7","1.00"
"Poland",1976,"Athletics","5","3","2","0","5","1.00"
"Bulgaria",1972,"Weightlifting","5","3","3","0","6","1.20"
"Spain",2016,"Canoeing","4","3","0","1","4","1.00"
"Italy",1964,"Cycling","7","3","5","0","8","1.14"
"Turkey",1956,"Wrestling","7","3","2","2","7","1.00"
"Germany",2012,"Canoeing","8","3","2","3","8","1.00"
"Hungary",1996,"Swimming","5","3","1","2","6","1.20"
